mp-pt	item-code	treatment-of-code
lamivudine + zidovudine	10284G	4512
lamivudine + zidovudine	10284G	4454
interferon alfa-2a	10369R	4993
interferon alfa-2a	10369R	5036
abacavir	10294T	4512
abacavir	10294T	4454
octreotide	11896D	10075
dolutegravir	10283F	4512
dolutegravir	10283F	4454
tenofovir disoproxil + emtricitabine + efavirenz	11732L	4522
tenofovir disoproxil + emtricitabine + efavirenz	11732L	4470
adefovir	10290N	4490
adefovir	10290N	4510
ritonavir	10273Q	4512
ritonavir	10273Q	4454
raltegravir	11248B	4512
raltegravir	11248B	4454
maraviroc	10355B	5008
tenofovir disoproxil	11142K	6998
tenofovir disoproxil	11142K	6982
tenofovir disoproxil	11142K	6980
tenofovir disoproxil	11142K	6992
tenofovir disoproxil	11142K	6983
tenofovir disoproxil	11142K	6984
entecavir	10353X	5044
entecavir	10353X	5037
clozapine	10289M	4998
emtricitabine + rilpivirine + tenofovir alafenamide	11104K	4522
emtricitabine + rilpivirine + tenofovir alafenamide	11104K	4470
tenofovir disoproxil	11978K	10362
lamivudine	10311Q	4512
lamivudine	10311Q	4454
octreotide	11501H	8197
octreotide	11501H	8208
octreotide	11501H	8198
tenofovir disoproxil	11155D	6998
tenofovir disoproxil	11155D	6982
tenofovir disoproxil	11155D	6980
tenofovir disoproxil	11155D	6992
tenofovir disoproxil	11155D	6983
tenofovir disoproxil	11155D	6984
entecavir	10279B	4993
entecavir	10279B	5036
interferon alfa-2a	10317B	4993
interferon alfa-2a	10317B	5036
valganciclovir	10306K	4980
tenofovir disoproxil	10310P	6998
tenofovir disoproxil	10310P	6982
tenofovir disoproxil	10310P	6980
tenofovir disoproxil	10310P	6992
tenofovir disoproxil	10310P	6983
tenofovir disoproxil	10310P	6984
clozapine	10358E	4998
lanreotide	11736Q	10075
tenofovir disoproxil + emtricitabine	11149T	6985
tenofovir disoproxil + emtricitabine	11149T	6986
clozapine	10288L	4998
efavirenz	10336B	4512
efavirenz	10336B	4454
darunavir + cobicistat	10903W	6413
darunavir + cobicistat	10903W	6428
darunavir + cobicistat	10903W	6377
tenofovir disoproxil + emtricitabine	10347N	6985
tenofovir disoproxil + emtricitabine	10347N	6986
dolutegravir + rilpivirine	11540J	8214
dolutegravir + rilpivirine	11540J	8226
valganciclovir	10277X	4980
lanreotide	11315M	7532
lanreotide	11315M	7509
rilpivirine	10298B	4512
rilpivirine	10298B	4454
lopinavir + ritonavir	10327M	4512
lopinavir + ritonavir	10327M	4454
zidovudine	10266H	4512
zidovudine	10266H	4454
clozapine	10302F	4998
etravirine	10301E	5014
lamivudine	10320E	4512
lamivudine	10320E	4454
clozapine	10341G	4998
abacavir + lamivudine + zidovudine	10305J	4495
abacavir + lamivudine + zidovudine	10305J	4480
atazanavir	11657M	4512
atazanavir	11657M	4454
nevirapine	10319D	4512
nevirapine	10319D	4454
darunavir + cobicistat + emtricitabine + tenofovir alafenamide	11955F	10324
darunavir + cobicistat + emtricitabine + tenofovir alafenamide	11955F	10317
darbepoetin alfa	6321Q	9688
apomorphine	10971K	9561
epoetin beta	6482E	9688
sirolimus	6457W	9914
thalidomide	9684Q	9290
methoxy polyethylene glycol-epoetin beta	9578D	9688
tacrolimus	9683P	9697
darbepoetin alfa	6324W	9688
epoetin beta	6484G	9688
deferiprone	6416Q	9286
deferiprone	6416Q	9228
epoetin alfa	6205N	9688
pamidronate disodium	6287X	9234
darbepoetin alfa	6493R	9688
epoetin alfa	6251B	9688
epoetin alfa	6207Q	9688
interferon alfa-2a	6210W	9259
epoetin alfa	6204M	9688
pamidronate disodium	6288Y	9234
filgrastim	6292E	8674
filgrastim	6292E	8667
filgrastim	6292E	8672
filgrastim	6292E	8668
filgrastim	6292E	8671
filgrastim	6292E	8696
filgrastim	6292E	8669
filgrastim	6292E	8670
filgrastim	6292E	8673
pamidronate disodium	6289B	9234
pamidronate disodium	6289B	9335
pamidronate disodium	6289B	9315
octreotide	10566D	9262
octreotide	10566D	9313
octreotide	10566D	9288
epoetin beta	6480C	9688
infliximab	10057H	9632
clozapine	6418T	9490
valaciclovir	6280M	9267
pamidronate disodium	6286W	9234
lanthanum	9636E	9762
epoetin alfa	6302Q	9688
peginterferon alfa-2a	6439X	9603
baclofen	11194E	9562
baclofen	11194E	9525
baclofen	11194E	9638
baclofen	11194E	9606
darbepoetin alfa	6320P	9688
everolimus	6459Y	9691
everolimus	6459Y	9693
natalizumab	9624M	9744
methoxy polyethylene glycol-epoetin beta	9579E	9688
mycophenolate	6209T	9691
mycophenolate	6209T	9693
pegfilgrastim	6363X	9235
pegfilgrastim	6363X	9303
octreotide	10558Q	9262
octreotide	10558Q	9313
octreotide	10558Q	9288
clozapine	6101D	9490
filgrastim	6126K	8674
filgrastim	6126K	8667
filgrastim	6126K	8672
filgrastim	6126K	8668
filgrastim	6126K	8671
filgrastim	6126K	8696
filgrastim	6126K	8669
filgrastim	6126K	8670
filgrastim	6126K	8673
lanreotide	6423C	9261
lanreotide	6423C	9260
baclofen	6284R	9488
baclofen	6284R	9637
baclofen	6284R	9489
baclofen	6284R	9524
ciclosporin	6232B	9764
ciclosporin	6232B	9695
ciclosporin	6232B	9763
ciclosporin	6232B	9694
ciclosporin	6232B	9742
ciclosporin	6109M	9831
azithromycin	6221K	9604
valganciclovir	6357N	9316
lanreotide	6424D	9261
lanreotide	6424D	9260
lanthanum	9635D	9762
epoetin lambda	9588P	9688
interferon gamma-1b	6148N	9639
everolimus	6460B	9691
everolimus	6460B	9693
epoetin lambda	9595B	9688
tacrolimus	9682N	9697
mannitol	2008Q	9527
mannitol	2008Q	9593
tacrolimus	6217F	9697
epoetin lambda	9685R	9688
rifabutin	6195C	9560
rifabutin	6195C	9622
mycophenolate	6369F	9692
mycophenolate	6369F	9809
mycophenolate	6208R	9689
mycophenolate	6208R	9690
lanreotide	6425E	9261
lanreotide	6425E	9260
doxorubicin hydrochloride (as pegylated liposomal)	6249X	9287
doxorubicin hydrochloride (as pegylated liposomal)	6249X	9223
methoxy polyethylene glycol-epoetin beta	9576B	9688
deferiprone	9638G	9286
deferiprone	9638G	9228
alemtuzumab	10243D	9636
lipegfilgrastim	10931H	9224
lipegfilgrastim	10931H	9322
darbepoetin alfa	6438W	9688
sirolimus	6436R	9914
filgrastim	5830W	8674
filgrastim	5830W	8667
filgrastim	5830W	8672
filgrastim	5830W	8668
filgrastim	5830W	8671
filgrastim	5830W	8696
filgrastim	5830W	8669
filgrastim	5830W	8670
filgrastim	5830W	8673
peginterferon alfa-2a	6449K	9603
darbepoetin alfa	6488L	9688
sirolimus	6437T	9914
darbepoetin alfa	6491P	9688
apomorphine	11688E	10830
dornase alfa	6120D	9624
dornase alfa	6120D	9591
dornase alfa	6120D	9592
epoetin lambda	9593X	9688
mycophenolate	6364Y	9691
mycophenolate	6364Y	9693
lanreotide	6332G	9225
mycophenolate	6370G	9692
mycophenolate	6370G	9809
lanthanum	9637F	9762
clozapine	11415T	9490
everolimus	6461C	9691
everolimus	6461C	9693
darbepoetin alfa	6365B	9688
epoetin alfa	6305W	9688
tacrolimus	9681M	9697
darbepoetin alfa	6325X	9688
alemtuzumab	10246G	9589
infliximab	11396T	9733
apomorphine	9640J	9561
ciclosporin	6354K	9764
ciclosporin	6354K	9695
ciclosporin	6354K	9763
ciclosporin	6354K	9694
ciclosporin	6354K	9742
methoxy polyethylene glycol-epoetin beta	9575Y	9688
ocrelizumab	11237K	9523
ocrelizumab	11237K	9635
baclofen	11420C	9488
baclofen	11420C	9637
baclofen	11420C	9489
baclofen	11420C	9524
ibandronate	9619G	9333
anakinra	10263E	5450
epoetin beta	6481D	9688
octreotide	6228T	9233
octreotide	6228T	9289
octreotide	6228T	9232
ciclosporin	6353J	9764
ciclosporin	6353J	9695
ciclosporin	6353J	9763
ciclosporin	6353J	9694
ciclosporin	6353J	9742
filgrastim	2733W	8674
filgrastim	2733W	8667
filgrastim	2733W	8672
filgrastim	2733W	8668
filgrastim	2733W	8671
filgrastim	2733W	8696
filgrastim	2733W	8669
filgrastim	2733W	8670
filgrastim	2733W	8673
filgrastim	6291D	8674
filgrastim	6291D	8667
filgrastim	6291D	8672
filgrastim	6291D	8668
filgrastim	6291D	8671
filgrastim	6291D	8696
filgrastim	6291D	8669
filgrastim	6291D	8670
filgrastim	6291D	8673
levodopa + carbidopa	9744W	10363
desferrioxamine	6113R	9696
infliximab	11488P	9621
darbepoetin alfa	6326Y	9688
tacrolimus	6216E	9697
methoxy polyethylene glycol-epoetin beta	9574X	9688
epoetin lambda	9590R	9688
epoetin beta	6485H	9688
darbepoetin alfa	6322R	9688
epoetin lambda	9687W	9688
zoledronic acid	6371H	9268
zoledronic acid	6371H	9328
zoledronic acid	6371H	9304
zoledronic acid	6371H	9317
clozapine	6417R	9490
filgrastim	2747N	8674
filgrastim	2747N	8667
filgrastim	2747N	8672
filgrastim	2747N	8668
filgrastim	2747N	8671
filgrastim	2747N	8696
filgrastim	2747N	8669
filgrastim	2747N	8670
filgrastim	2747N	8673
octreotide	6227R	9233
octreotide	6227R	9289
octreotide	6227R	9232
octreotide	6229W	9233
octreotide	6229W	9289
octreotide	6229W	9232
sucroferric oxyhydroxide	10230K	9762
epoetin alfa	6206P	9688
apomorphine	11083H	10830
everolimus	9582H	9691
everolimus	9582H	9693
interferon alfa-2a	6213B	9259
plerixafor	10084R	9329
methoxy polyethylene glycol-epoetin beta	9580F	9688
infliximab	11432Q	9732
filgrastim	6127L	8674
filgrastim	6127L	8667
filgrastim	6127L	8672
filgrastim	6127L	8668
filgrastim	6127L	8671
filgrastim	6127L	8696
filgrastim	6127L	8669
filgrastim	6127L	8670
filgrastim	6127L	8673
methoxy polyethylene glycol-epoetin beta	9577C	9688
desferrioxamine	6270B	9696
darbepoetin alfa	6492Q	9688
sevelamer	9620H	9762
darbepoetin alfa	6489M	9688
ciclosporin	6125J	9764
ciclosporin	6125J	9695
ciclosporin	6125J	9763
ciclosporin	6125J	9694
ciclosporin	6125J	9742
apomorphine	11475Y	10830
infliximab	11450P	9775
epoetin alfa	6434P	9688
octreotide	10549F	9262
octreotide	10549F	9313
octreotide	10549F	9288
clozapine	6102E	9490
ciclosporin	6352H	9764
ciclosporin	6352H	9695
ciclosporin	6352H	9763
ciclosporin	6352H	9694
ciclosporin	6352H	9742
thalidomide	6469L	9290
darbepoetin alfa	6323T	9688
sirolimus	9748C	9914
darbepoetin alfa	6490N	9688
epoetin lambda	9688X	9688
deferiprone	11724C	9623
deferiprone	11724C	9590
tacrolimus	10875J	9697
infliximab	11483J	9975
apomorphine	9607P	9561
tacrolimus	10879N	9697
tacrolimus	6328C	9697
clozapine	9632Y	9490
epoetin lambda	9686T	9688
epoetin alfa	6303R	9688
epoetin beta	6483F	9688
zoledronic acid	10542W	9268
zoledronic acid	10542W	9328
zoledronic acid	10542W	9304
zoledronic acid	10542W	9317
mycophenolate	1837Q	9689
mycophenolate	1837Q	9690
baclofen	11128Q	9488
baclofen	11128Q	9637
baclofen	11128Q	9489
baclofen	11128Q	9524
ganciclovir	6136Y	9404
ganciclovir	6136Y	9526
valganciclovir	9675F	9316
epoetin alfa	6339P	9688
levodopa + carbidopa	11910W	10161
octreotide	11894B	10077
rituximab	11804G	9640
rituximab	11804G	9641
infliximab	11595G	9602
infliximab	11595G	9584
rituximab	11790M	9611
cinacalcet	11888Q	10063
lanreotide	11527Q	10077
deferasirox	11510T	9302
deferasirox	11510T	9222
deferasirox	11510T	9258
sevelamer	11838C	9762
deferasirox	11547R	9302
deferasirox	11547R	9222
deferasirox	11547R	9258
cinacalcet	11891W	10063
cinacalcet	11889R	10063
rituximab	11810N	9640
rituximab	11810N	9641
infliximab	11515C	9472
tacrolimus	11920J	9697
methoxsalen	12162D	10971
infliximab	11796W	9806
methoxsalen	12173Q	10989
deferasirox	11548T	9302
deferasirox	11548T	9222
deferasirox	11548T	9258
valganciclovir	9655E	4989
tacrolimus	10860N	5569
lanthanum	5782H	5530
apomorphine	5610G	4833
valganciclovir	9569P	4989
epoetin lambda	9668W	6294
baclofen	5617P	6925
baclofen	5617P	6939
baclofen	5617P	6940
baclofen	5617P	6911
sirolimus	9548M	5795
clozapine	5630H	5015
epoetin lambda	9587N	6294
azithromycin	5616N	6356
infliximab	11400B	9731
epoetin alfa	5714R	6294
epoetin lambda	9591T	6294
darbepoetin alfa	5638R	6294
lanreotide	5777C	7025
lanreotide	5777C	4575
tacrolimus	9664P	5569
apomorphine	11093W	10863
doxorubicin hydrochloride (as pegylated liposomal)	5705G	6234
doxorubicin hydrochloride (as pegylated liposomal)	5705G	6274
infliximab	11423F	9787
epoetin beta	5725H	6294
apomorphine	11477C	10863
interferon alfa-2a	5759D	5042
desferrioxamine	5661Y	6394
deferiprone	11747G	6448
deferiprone	11747G	6403
ciclosporin	5632K	6643
ciclosporin	5632K	6660
ciclosporin	5632K	6676
ciclosporin	5632K	6631
ciclosporin	5632K	6638
methoxy polyethylene glycol-epoetin beta	5795B	6294
everolimus	5738B	5795
everolimus	5738B	5554
peginterferon alfa-2a	9515T	5004
infliximab	10067W	4524
filgrastim	2758E	7822
filgrastim	2758E	7843
filgrastim	2758E	6653
filgrastim	2758E	6654
filgrastim	2758E	6679
filgrastim	2758E	6655
filgrastim	2758E	6680
filgrastim	2758E	6621
filgrastim	2758E	6640
mycophenolate	9503E	4084
mycophenolate	9503E	4095
pamidronate disodium	5669J	4433
epoetin lambda	9594Y	6294
clozapine	5626D	5015
methoxy polyethylene glycol-epoetin beta	5798E	6294
sirolimus	9549N	5795
ibandronate	5750P	5291
ciclosporin	5633L	6643
ciclosporin	5633L	6660
ciclosporin	5633L	6676
ciclosporin	5633L	6631
ciclosporin	5633L	6638
darbepoetin alfa	5637Q	6294
epoetin alfa	5720C	6294
epoetin alfa	5721D	6294
darbepoetin alfa	5642Y	6294
epoetin alfa	5722E	6294
mannitol	2015C	7362
mannitol	2015C	7367
darbepoetin alfa	5640W	6294
ocrelizumab	11242Q	7699
ocrelizumab	11242Q	7386
epoetin beta	5727K	6294
peginterferon alfa-2a	9516W	5004
sirolimus	9747B	5795
tacrolimus	9561F	5569
epoetin beta	5729M	6294
mycophenolate	9504F	4084
mycophenolate	9504F	4095
tacrolimus	9665Q	5569
anakinra	10264F	5450
alemtuzumab	10228H	7714
epoetin lambda	9669X	6294
baclofen	11195F	7152
baclofen	11195F	7134
baclofen	11195F	7153
baclofen	11195F	7148
pamidronate disodium	5667G	4433
natalizumab	9505G	9818
filgrastim	5742F	7822
filgrastim	5742F	7843
filgrastim	5742F	6653
filgrastim	5742F	6654
filgrastim	5742F	6679
filgrastim	5742F	6655
filgrastim	5742F	6680
filgrastim	5742F	6621
filgrastim	5742F	6640
octreotide	10550G	8161
octreotide	10550G	5901
octreotide	10550G	5906
infliximab	11486M	9481
epoetin lambda	9670Y	6294
octreotide	9510M	8165
octreotide	9510M	6390
octreotide	9510M	6369
thalidomide	9566L	5914
tacrolimus	9558C	5569
filgrastim	5829T	7822
filgrastim	5829T	7843
filgrastim	5829T	6653
filgrastim	5829T	6654
filgrastim	5829T	6679
filgrastim	5829T	6655
filgrastim	5829T	6680
filgrastim	5829T	6621
filgrastim	5829T	6640
octreotide	9509L	8165
octreotide	9509L	6390
octreotide	9509L	6369
lipegfilgrastim	10936N	7822
lipegfilgrastim	10936N	7843
darbepoetin alfa	5645D	6294
clozapine	5629G	5015
ciclosporin	5636P	6643
ciclosporin	5636P	6660
ciclosporin	5636P	6676
ciclosporin	5636P	6631
ciclosporin	5636P	6638
lanreotide	5778D	7025
lanreotide	5778D	4575
ganciclovir	5749N	4972
ganciclovir	5749N	4999
rifabutin	9541E	6350
rifabutin	9541E	6356
filgrastim	5744H	7822
filgrastim	5744H	7843
filgrastim	5744H	6653
filgrastim	5744H	6654
filgrastim	5744H	6679
filgrastim	5744H	6655
filgrastim	5744H	6680
filgrastim	5744H	6621
filgrastim	5744H	6640
dornase alfa	5704F	5740
dornase alfa	5704F	5634
dornase alfa	5704F	5635
levodopa + carbidopa	9743T	10375
deferiprone	5658T	6448
deferiprone	5658T	6403
everolimus	5739C	5795
everolimus	5739C	5554
epoetin alfa	5719B	6294
darbepoetin alfa	5646E	6294
epoetin alfa	5715T	6294
darbepoetin alfa	5639T	6294
valaciclovir	9568N	5975
epoetin alfa	5718Y	6294
interferon alfa-2a	5762G	5042
ciclosporin	5634M	6643
ciclosporin	5634M	6660
ciclosporin	5634M	6676
ciclosporin	5634M	6631
ciclosporin	5634M	6638
epoetin lambda	9589Q	6294
lanthanum	5780F	5530
mycophenolate	9500B	5795
mycophenolate	9500B	5554
deferiprone	5657R	6448
deferiprone	5657R	6403
darbepoetin alfa	5650J	6294
mycophenolate	9501C	5653
mycophenolate	9501C	5600
apomorphine	5609F	4833
tacrolimus	9666R	5569
methoxy polyethylene glycol-epoetin beta	5794Y	6294
clozapine	5628F	5015
apomorphine	10950H	4833
filgrastim	5743G	7822
filgrastim	5743G	7843
filgrastim	5743G	6653
filgrastim	5743G	6654
filgrastim	5743G	6679
filgrastim	5743G	6655
filgrastim	5743G	6680
filgrastim	5743G	6621
filgrastim	5743G	6640
infliximab	11461F	9785
methoxy polyethylene glycol-epoetin beta	5796C	6294
darbepoetin alfa	5643B	6294
filgrastim	2783L	7822
filgrastim	2783L	7843
filgrastim	2783L	6653
filgrastim	2783L	6654
filgrastim	2783L	6679
filgrastim	2783L	6655
filgrastim	2783L	6680
filgrastim	2783L	6621
filgrastim	2783L	6640
darbepoetin alfa	5651K	6294
mycophenolate	9502D	5795
mycophenolate	9502D	5554
methoxy polyethylene glycol-epoetin beta	5800G	6294
plerixafor	10083Q	4549
ciclosporin	5631J	6628
darbepoetin alfa	5649H	6294
darbepoetin alfa	5648G	6294
epoetin alfa	5713Q	6294
clozapine	5627E	5015
mycophenolate	1839T	5653
mycophenolate	1839T	5600
octreotide	9508K	8165
octreotide	9508K	6390
octreotide	9508K	6369
tacrolimus	10859M	5569
octreotide	10533J	8161
octreotide	10533J	5901
octreotide	10533J	5906
lanreotide	5779E	7025
lanreotide	5779E	4575
sevelamer	9546K	5530
baclofen	11126N	6925
baclofen	11126N	6939
baclofen	11126N	6940
baclofen	11126N	6911
lanreotide	5776B	7042
alemtuzumab	10232M	6847
darbepoetin alfa	5644C	6294
desferrioxamine	5662B	6394
tacrolimus	9560E	5569
epoetin lambda	9596C	6294
baclofen	11421D	6925
baclofen	11421D	6939
baclofen	11421D	6940
baclofen	11421D	6911
interferon gamma-1b	5769P	6222
darbepoetin alfa	5641X	6294
methoxy polyethylene glycol-epoetin beta	5799F	6294
epoetin alfa	5716W	6294
epoetin alfa	5717X	6294
pamidronate disodium	5670K	4433
pamidronate disodium	5670K	5218
pamidronate disodium	5670K	5291
clozapine	11433R	5015
octreotide	10543X	8161
octreotide	10543X	5901
octreotide	10543X	5906
sucroferric oxyhydroxide	10233N	5530
lanthanum	5781G	5530
pegfilgrastim	9514R	7822
pegfilgrastim	9514R	7843
pamidronate disodium	5668H	4433
epoetin beta	5724G	6294
filgrastim	5741E	7822
filgrastim	5741E	7843
filgrastim	5741E	6653
filgrastim	5741E	6654
filgrastim	5741E	6679
filgrastim	5741E	6655
filgrastim	5741E	6680
filgrastim	5741E	6621
filgrastim	5741E	6640
everolimus	5737Y	5795
everolimus	5737Y	5554
epoetin beta	5728L	6294
sirolimus	9550P	5795
methoxy polyethylene glycol-epoetin beta	5797D	6294
apomorphine	11672H	10863
ciclosporin	5635N	6643
ciclosporin	5635N	6660
ciclosporin	5635N	6676
ciclosporin	5635N	6631
ciclosporin	5635N	6638
infliximab	11449N	9668
epoetin beta	5726J	6294
everolimus	5740D	5795
everolimus	5740D	5554
zoledronic acid	9653C	5735
zoledronic acid	9653C	5605
zoledronic acid	9653C	5703
zoledronic acid	9653C	5704
thalidomide	9667T	5914
zoledronic acid	10561W	5735
zoledronic acid	10561W	5605
zoledronic acid	10561W	5703
zoledronic acid	10561W	5704
darbepoetin alfa	5647F	6294
methoxsalen	12154Q	10988
levodopa + carbidopa	11913B	10138
methoxsalen	12156T	10985
infliximab	11490R	8755
cinacalcet	11885M	10067
deferasirox	11534C	8328
deferasirox	11534C	8329
deferasirox	11534C	8326
lanreotide	11513Y	10061
deferasirox	11535D	8328
deferasirox	11535D	8329
deferasirox	11535D	8326
tacrolimus	11907Q	5569
rituximab	11800C	9336
rituximab	11800C	9539
cinacalcet	11887P	10067
deferasirox	11555E	8328
deferasirox	11555E	8329
deferasirox	11555E	8326
rituximab	11805H	9446
rituximab	11813R	9336
rituximab	11813R	9539
cinacalcet	11886N	10067
sevelamer	11855Y	5530
infliximab	11514B	9188
infliximab	11605T	8844
infliximab	11605T	8940
octreotide	11893Y	10061
progesterone	6366C	5045
follitropin alfa	10872F	5027
follitropin beta	6336L	5027
follitropin delta	11430N	5027
follitropin delta	11414R	5027
choriogonadotropin alfa	6182J	5019
follitropin delta	11431P	5027
ganirelix	9583J	5046
human chorionic gonadotrophin	11154C	6991
follitropin alfa	6433N	5027
human menopausal gonadotrophin	2036E	5027
human chorionic gonadotrophin	11156E	6991
progesterone	9608Q	4997
follitropin alfa + lutropin alfa	11667C	5250
follitropin alfa	10861P	5027
corifollitropin alfa	5816D	5009
cetrorelix	9599F	5046
follitropin alfa	6431L	5027
progesterone	10116K	4997
progesterone	9609R	4997
corifollitropin alfa	5817E	5009
human menopausal gonadotrophin	2038G	5027
ganirelix	9584K	5046
triptorelin	10907C	5046
progesterone	10930G	4997
follitropin beta	6335K	5027
follitropin alfa	6432M	5027
nafarelin	5815C	5046
lutropin alfa	10465T	5251
follitropin alfa	10867Y	5027
follitropin beta	6464F	5027
follitropin alfa	10873G	5027
follitropin alfa	10866X	5027
trastuzumab	7264H	10296
trastuzumab	7265J	10213
trastuzumab	7266K	10293
trastuzumab	7267L	10294
trastuzumab	10589H	9573
trastuzumab	10402L	9353
trastuzumab	10383L	9349
trastuzumab	10597R	9571
trastuzumab	4632T	10296
trastuzumab	4639E	10213
trastuzumab	4650R	10293
trastuzumab	4703M	10294
trastuzumab	10391X	9353
trastuzumab	10401K	9349
trastuzumab	10581X	9573
trastuzumab	10588G	9571
