GE!1418P!AP!!39401000036106!ticagrelor!35461000036107!ticagrelor 90 mg tablet, 56!Brilinta!35451000036109!Brilinta 90 mg tablet, 56!!56!114.52!114.52!
GE!9214Y!AF!!35690011000036109!hypromellose!35759011000036104!hypromellose 0.5% eye drops, 15 mL!Methopt!35558011000036106!Methopt Tears 0.5% eye drops, 15 mL!!1!3.12!3.12!
GE!9242K!GQ!!21242011000036102!simvastatin!28211011000036108!simvastatin 10 mg tablet, 30!Simvastatin generichealth!33261011000036107!Simvastatin (Generic Health) 10 mg tablet, 30!!30!1.04!1.04!0.00
GE!9242K!TX!!21242011000036102!simvastatin!28211011000036108!simvastatin 10 mg tablet, 30!APO-Simvastatin!73120011000036104!Simvastatin (Apo) 10 mg tablet, 30!!30!1.04!1.04!0.00
GE!9242K!AL!!21242011000036102!simvastatin!28211011000036108!simvastatin 10 mg tablet, 30!Lipex 10!11505011000036108!Lipex 10 mg tablet, 30!!30!1.04!6.00!
GE!9242K!SZ!!21242011000036102!simvastatin!28211011000036108!simvastatin 10 mg tablet, 30!Simvastatin Sandoz!22121000036102!Simvastatin (Sandoz) 10 mg tablet, 30!!30!1.04!1.04!0.00
GE!9242K!AF!!21242011000036102!simvastatin!28211011000036108!simvastatin 10 mg tablet, 30!Zimstat!14122011000036109!Zimstat 10 mg tablet, 30!!30!1.04!1.04!0.00
GE!9242K!EA!!21242011000036102!simvastatin!28211011000036108!simvastatin 10 mg tablet, 30!Simvastatin AN!654301000168102!Simvastatin (AN) 10 mg tablet, 30!!30!1.04!1.04!0.00
GE!9242K!MQ!!21242011000036102!simvastatin!28211011000036108!simvastatin 10 mg tablet, 30!Zocor!13146011000036107!Zocor 10 mg tablet, 30!!30!1.04!6.00!
GE!9242K!RA!!21242011000036102!simvastatin!28211011000036108!simvastatin 10 mg tablet, 30!Ransim!11642011000036100!Ransim 10 mg tablet, 30!!30!1.04!1.04!0.00
GE!9242K!RW!!21242011000036102!simvastatin!28211011000036108!simvastatin 10 mg tablet, 30!Simvar 10!14132011000036107!Simvar 10 mg tablet, 30!!30!1.04!1.04!0.00
GE!8959M!PF!!21450011000036103!dalteparin sodium!46801000036102!dalteparin sodium 15 000 anti-Xa units/0.6 mL injection, 10 x 0.6 mL syringes!Fragmin!46791000036101!Fragmin 15 000 anti-Xa units/0.6 mL injection, 10 x 0.6 mL syringes!!30!98.29!98.29!
GE!9056P!AF!!21361011000036108!amlodipine + atorvastatin!26549011000036100!amlodipine 10 mg + atorvastatin 80 mg tablet, 30!Cadivast 10/80!174911000036106!Cadivast 10/80 tablet, 30!!30!5.69!5.69!0.00
GE!9056P!UJ!!21361011000036108!amlodipine + atorvastatin!26549011000036100!amlodipine 10 mg + atorvastatin 80 mg tablet, 30!Caduet 10/80!11163011000036102!Caduet 10/80 tablet, 30!!30!5.69!10.34!
GE!9057Q!NV!!21860011000036103!travoprost + timolol!26778011000036108!travoprost 0.004% + timolol 0.5% eye drops, 2.5 mL!Duotrav!11808011000036101!Duotrav eye drops, 2.5 mL!!1!27.73!27.73!
GE!9189P!VE!!21584011000036107!adalimumab!28164011000036107!adalimumab 40 mg/0.8 mL injection, 2 x 0.8 mL syringes!Humira!14128011000036107!Humira 40 mg/0.8 mL injection, 2 x 0.8 mL syringes!!2!979.56!979.56!
GE!9129L!PF!!33624011000036101!varenicline!33788011000036105!varenicline 1 mg tablet, 56!Champix!33272011000036108!Champix 1 mg tablet, 56!!112!82.41!82.41!
GE!9303P!LY!!21485011000036103!olanzapine!83484011000036101!olanzapine 405 mg modified release injection [1 vial] (&) inert substance diluent [3 mL vial], 1 pack!Zyprexa Relprevv!83308011000036102!Zyprexa Relprevv (1 x 405 mg vial, 1 x 3 mL diluent vial), 1 pack!!1!441.20!441.20!
GE!9143F!AF!!21370011000036105!phenoxymethylpenicillin!35774011000036102!phenoxymethylpenicillin 150 mg/5 mL oral liquid, 100 mL!Cilicaine V!35578011000036108!Cilicaine V 150 mg/5 mL oral liquid, 100 mL!!2!6.14!6.14!
GE!9249T!GO!!21442011000036101!colestyramine!1479511000168105!colestyramine 4 g powder for oral liquid, 50 sachets!Questran Lite!1479521000168103!Questran Lite 4 g powder for oral liquid, 50 sachets!!2!32.28!32.28!
GE!9151P!AF!!37716011000036100!pramipexole!38830011000036101!pramipexole dihydrochloride monohydrate 125 microgram tablet, 30!Simpral!677681000168109!Simpral 125 microgram tablet, 30!!30!2.54!2.54!
GE!9151P!EA!!37716011000036100!pramipexole!38830011000036101!pramipexole dihydrochloride monohydrate 125 microgram tablet, 30!Pramipexole AN!666831000168101!Pramipexole Hydrochloride (AN) 125 microgram tablet, 30!!30!2.54!2.54!
GE!9151P!RW!!37716011000036100!pramipexole!38830011000036101!pramipexole dihydrochloride monohydrate 125 microgram tablet, 30!Simipex 0.125!43051000036104!Simipex 125 microgram tablet, 30!!30!2.54!2.54!
GE!9151P!BY!!37716011000036100!pramipexole!38830011000036101!pramipexole dihydrochloride monohydrate 125 microgram tablet, 30!Sifrol!36949011000036109!Sifrol 125 microgram tablet, 30!!30!2.54!2.54!
GE!9151P!TX!!37716011000036100!pramipexole!38830011000036101!pramipexole dihydrochloride monohydrate 125 microgram tablet, 30!APO-Pramipexole!697221000168101!Pramipexole (Apo) 125 microgram tablet, 30!!30!2.54!2.54!
GE!9124F!AF!!21401011000036104!imatinib!28143011000036104!imatinib 400 mg tablet, 30!Glivec!14093011000036104!Glivec 400 mg tablet, 30!!30!832.35!832.35!
GE!9124F!RA!!21401011000036104!imatinib!28143011000036104!imatinib 400 mg tablet, 30!IMATINIB RBX!829071000168101!Imatinib (RBX) 400 mg tablet, 30!!30!832.35!832.35!
GE!9124F!SZ!!21401011000036104!imatinib!28143011000036104!imatinib 400 mg tablet, 30!Imatinib-Teva!829801000168102!Imatinib (Teva) 400 mg tablet, 30!!30!832.35!832.35!
GE!9124F!CR!!21401011000036104!imatinib!28143011000036104!imatinib 400 mg tablet, 30!Gilmat!1347621000168104!Gilmat 400 mg tablet, 30!!30!832.35!832.35!
GE!9010F!FB!!21269011000036100!vinorelbine!28322011000036103!vinorelbine 30 mg capsule, 1!Navelbine!14331011000036106!Navelbine 30 mg capsule, 1!!16!108.80!108.80!
GE!9052K!AF!!21361011000036108!amlodipine + atorvastatin!26545011000036102!amlodipine 5 mg + atorvastatin 80 mg tablet, 30!Cadivast 5/80!174891000036108!Cadivast 5/80 tablet, 30!!30!5.05!5.05!0.00
GE!9052K!UJ!!21361011000036108!amlodipine + atorvastatin!26545011000036102!amlodipine 5 mg + atorvastatin 80 mg tablet, 30!Caduet 5/80!11159011000036109!Caduet 5/80 tablet, 30!!30!5.05!9.70!
GE!9188N!VE!!21584011000036107!adalimumab!28164011000036107!adalimumab 40 mg/0.8 mL injection, 2 x 0.8 mL syringes!Humira!14128011000036107!Humira 40 mg/0.8 mL injection, 2 x 0.8 mL syringes!!2!979.56!979.56!
GE!9085E!MK!!21347011000036107!etanercept!79241011000036109!etanercept 50 mg/mL injection, 4 x 1 mL syringes!Brenzys!880521000168109!Brenzys 50 mg/mL injection, 4 x 1 mL syringes!!1!939.25!939.25!
GE!9085E!PF!!21347011000036107!etanercept!79241011000036109!etanercept 50 mg/mL injection, 4 x 1 mL syringes!Enbrel!933223531000036103!Enbrel 50 mg/mL injection, 4 x 1 mL syringes!!1!939.25!939.25!
GE!9351E!RZ!!13681000144105!alendronate + colecalciferol (&) calcium carbonate!58811000144104!alendronate 70 mg + colecalciferol 140 microgram tablet [4] (&) calcium (as carbonate) 500 mg tablet [48], 1 pack!ReddyMax Plus D-Cal!362611000144106!ReddyMax Plus D-Cal (4 x 70 mg/140 microgram tablets, 48 x 1.25 g tablets), 1 pack!!1!10.92!10.92!
GE!9177B!RA!!21401011000036104!imatinib!28143011000036104!imatinib 400 mg tablet, 30!IMATINIB RBX!829071000168101!Imatinib (RBX) 400 mg tablet, 30!!30!832.35!832.35!
GE!9177B!CR!!21401011000036104!imatinib!28143011000036104!imatinib 400 mg tablet, 30!Gilmat!1347621000168104!Gilmat 400 mg tablet, 30!!30!832.35!832.35!
GE!9177B!AF!!21401011000036104!imatinib!28143011000036104!imatinib 400 mg tablet, 30!Glivec!14093011000036104!Glivec 400 mg tablet, 30!!30!832.35!832.35!
GE!9177B!SZ!!21401011000036104!imatinib!28143011000036104!imatinib 400 mg tablet, 30!Imatinib-Teva!829801000168102!Imatinib (Teva) 400 mg tablet, 30!!30!832.35!832.35!
GE!8962Q!VE!!21584011000036107!adalimumab!729851000168100!adalimumab 40 mg/0.8 mL injection, 6 x 0.8 mL pen devices!Humira!729861000168103!Humira 40 mg/0.8 mL injection, 6 x 0.8 mL pen devices!!1!2938.68!2938.68!
GE!9028E!JT!!21454011000036108!miconazole!26813011000036109!miconazole nitrate 2% cream, 70 g!Daktarin!11945011000036107!Daktarin 2% cream, 70 g!!1!8.54!8.54!
GE!9345W!TX!!21653011000036109!levodopa + carbidopa + entacapone!84652011000036103!levodopa 125 mg + carbidopa 31.25 mg + entacapone 200 mg tablet, 100!Carlevent!905871000168106!Carlevent 125/31.25/200 tablet, 100!!200!114.94!114.94!
GE!9345W!TB!!21653011000036109!levodopa + carbidopa + entacapone!84652011000036103!levodopa 125 mg + carbidopa 31.25 mg + entacapone 200 mg tablet, 100!Lecteva!1482851000168107!Lecteva 125/31.25/200 tablet, 100!!200!114.94!114.94!
GE!9345W!SZ!!21653011000036109!levodopa + carbidopa + entacapone!84652011000036103!levodopa 125 mg + carbidopa 31.25 mg + entacapone 200 mg tablet, 100!Stalevo 125/31.25/200mg!84040011000036108!Stalevo 125/31.25/200 tablet, 100!!200!114.94!114.94!
GE!9385Y!VF!!61822011000036104!essential amino acids formula with vitamins and minerals!63078011000036105!essential amino acids formula with vitamins and minerals powder for oral liquid, 50 x 12.5 g sachets!EAA Supplement!55626011000036107!EAA Supplement powder for oral liquid, 50 x 12.5 g sachets!!4!295.41!295.41!
GE!9126H!BQ!!21627011000036104!dasatinib!26776011000036109!dasatinib 50 mg tablet, 60!Sprycel!11806011000036100!Sprycel 50 mg tablet, 60!!60!4114.52!4114.52!
GE!9145H!GO!!37713011000036106!lercanidipine + enalapril!84615011000036104!lercanidipine hydrochloride 10 mg + enalapril maleate 20 mg tablet, 28!Zan-Extra 10/20!83961011000036104!Zan-Extra 10/20 tablet, 28!!28!5.36!5.36!
GE!9174W!AF!!21401011000036104!imatinib!28142011000036106!imatinib 100 mg tablet, 60!Glivec!14092011000036106!Glivec 100 mg tablet, 60!!60!416.18!416.18!
GE!9174W!CR!!21401011000036104!imatinib!28142011000036106!imatinib 100 mg tablet, 60!Gilmat!1347261000168106!Gilmat 100 mg tablet, 60!!60!416.18!416.18!
GE!9174W!SZ!!21401011000036104!imatinib!28142011000036106!imatinib 100 mg tablet, 60!Imatinib-Teva!829161000168106!Imatinib (Teva) 100 mg tablet, 60!!60!416.18!416.18!
GE!9174W!RA!!21401011000036104!imatinib!28142011000036106!imatinib 100 mg tablet, 60!IMATINIB RBX!828981000168108!Imatinib (RBX) 100 mg tablet, 60!!60!416.18!416.18!
GE!9336J!UC!!84408011000036109!lacosamide!84630011000036103!lacosamide 150 mg tablet, 14!Vimpat!83995011000036100!Vimpat 150 mg tablet, 14!!14!54.83!54.83!
GE!9034L!VE!!21584011000036107!adalimumab!28164011000036107!adalimumab 40 mg/0.8 mL injection, 2 x 0.8 mL syringes!Humira!14128011000036107!Humira 40 mg/0.8 mL injection, 2 x 0.8 mL syringes!!2!979.56!979.56!
GE!9355J!AG!!52230011000036107!carmellose sodium + glycerol!52323011000036106!carmellose sodium 0.5% + glycerol 0.9% eye drops, 15 mL!Optive!52079011000036107!Optive eye drops, 15 mL!!1!2.74!2.74!
GE!9040T!NO!!21764011000036105!insulin detemir!28156011000036107!insulin detemir 100 units/mL injection, 5 x 3 mL cartridges!Levemir Penfill!14109011000036107!Levemir Penfill 100 units/mL injection, 5 x 3 mL cartridges!!5!61.61!61.61!
GE!9040T!NF!!21764011000036105!insulin detemir!28156011000036107!insulin detemir 100 units/mL injection, 5 x 3 mL cartridges!Levemir FlexPen!66911000144102!Levemir Flexpen 100 units/mL injection, 5 x 3 mL cartridges!!5!61.61!61.61!
GE!9036N!PF!!21347011000036107!etanercept!28011011000036101!etanercept 25 mg injection [4 vials] (&) inert substance diluent [4 x 1 mL syringes], 1 pack!Enbrel!13920011000036109!Enbrel (4 x 25 mg vials, 4 x 1 mL inert diluent syringes), 1 pack!!2!469.63!469.63!
GE!8955H!GA!!79733011000036104!adapalene + benzoyl peroxide!79805011000036107!adapalene 0.1% + benzoyl peroxide 2.5% gel, 30 g!Epiduo!79474011000036107!Epiduo 0.1% / 2.5% gel, 30 g!!1!23.44!23.44!
GE!9364W!TX!!44875011000036105!voriconazole!46810011000036104!voriconazole 200 mg tablet, 56!Voriconazole APOTEX!828101000168102!Voriconazole (Apotex) 200 mg tablet, 56!!56!726.74!726.74!
GE!9364W!PF!!44875011000036105!voriconazole!46810011000036104!voriconazole 200 mg tablet, 56!Vfend!42042011000036105!Vfend 200 mg tablet, 56!!56!726.74!726.74!
GE!9364W!GX!!44875011000036105!voriconazole!46810011000036104!voriconazole 200 mg tablet, 56!Voriconazole APO!1021611000168103!Voriconazole (Apo) 200 mg tablet, 56!!56!726.74!726.74!
GE!9364W!SZ!!44875011000036105!voriconazole!46810011000036104!voriconazole 200 mg tablet, 56!Voriconazole Sandoz!742401000168108!Voriconazole (Sandoz) 200 mg tablet, 56!!56!726.74!726.74!
GE!9364W!AF!!44875011000036105!voriconazole!46810011000036104!voriconazole 200 mg tablet, 56!Vttack!755861000168104!Vttack 200 mg tablet, 56!!56!726.74!726.74!
GE!9364W!RW!!44875011000036105!voriconazole!46810011000036104!voriconazole 200 mg tablet, 56!Vzole!849941000168106!Vzole 200 mg tablet, 56!!56!726.74!726.74!
GE!9393J!BY!!37716011000036100!pramipexole!38830011000036101!pramipexole dihydrochloride monohydrate 125 microgram tablet, 30!Sifrol!36949011000036109!Sifrol 125 microgram tablet, 30!!30!2.54!2.54!
GE!8958L!PF!!21450011000036103!dalteparin sodium!933226021000036100!dalteparin sodium 12 500 anti-Xa units/0.5 mL injection, 10 x 0.5 mL syringes!Fragmin!933226011000036107!Fragmin 12 500 anti-Xa units/0.5 mL injection, 10 x 0.5 mL syringes!!30!81.92!81.92!
GE!9169N!AE!!21766011000036102!levetiracetam!39462011000036104!levetiracetam 100 mg/mL oral liquid, 300 mL!Levetiracetam-AFT!707411000168100!Levetiracetam (AFT) 100 mg/mL oral liquid, 300 mL!!1!58.00!58.00!
GE!9169N!TX!!21766011000036102!levetiracetam!39462011000036104!levetiracetam 100 mg/mL oral liquid, 300 mL!APO-Levetiracetam!817001000168109!Levetiracetam (Apo) 100 mg/mL oral liquid, 300 mL!!1!58.00!58.00!
GE!9169N!UC!!21766011000036102!levetiracetam!39462011000036104!levetiracetam 100 mg/mL oral liquid, 300 mL!Keppra!39259011000036103!Keppra 100 mg/mL oral liquid, 300 mL!!1!58.00!58.00!
GE!9169N!DO!!21766011000036102!levetiracetam!39462011000036104!levetiracetam 100 mg/mL oral liquid, 300 mL!Kerron!713201000168107!Kerron 100 mg/mL oral liquid, 300 mL!!1!58.00!58.00!
GE!9287T!AS!!21577011000036109!levothyroxine!51552011000036103!levothyroxine sodium 75 microgram tablet, 200!Oroxine!49673011000036100!Oroxine 75 microgram tablet, 200!!200!14.23!16.07!
GE!9287T!LN!!21577011000036109!levothyroxine!51552011000036103!levothyroxine sodium 75 microgram tablet, 200!Eutroxsig!49674011000036103!Eutroxsig 75 microgram tablet, 200!!200!14.23!14.23!0.00
GE!9054M!UJ!!21361011000036108!amlodipine + atorvastatin!26547011000036107!amlodipine 10 mg + atorvastatin 20 mg tablet, 30!Caduet 10/20!11161011000036103!Caduet 10/20 tablet, 30!!30!3.57!8.22!
GE!9054M!AF!!21361011000036108!amlodipine + atorvastatin!26547011000036107!amlodipine 10 mg + atorvastatin 20 mg tablet, 30!Cadivast 10/20!174951000036105!Cadivast 10/20 tablet, 30!!30!3.57!3.57!0.00
GE!9116T!CR!!21401011000036104!imatinib!28143011000036104!imatinib 400 mg tablet, 30!Gilmat!1347621000168104!Gilmat 400 mg tablet, 30!!30!832.35!832.35!
GE!9116T!SZ!!21401011000036104!imatinib!28143011000036104!imatinib 400 mg tablet, 30!Imatinib-Teva!829801000168102!Imatinib (Teva) 400 mg tablet, 30!!30!832.35!832.35!
GE!9116T!AF!!21401011000036104!imatinib!28143011000036104!imatinib 400 mg tablet, 30!Glivec!14093011000036104!Glivec 400 mg tablet, 30!!30!832.35!832.35!
GE!9116T!RA!!21401011000036104!imatinib!28143011000036104!imatinib 400 mg tablet, 30!IMATINIB RBX!829071000168101!Imatinib (RBX) 400 mg tablet, 30!!30!832.35!832.35!
GE!9165J!VF!!13021000144101!tyrosine with carbohydrate!57141000144108!tyrosine with carbohydrate containing 1 g tyrosine oral liquid: powder for, 30 x 4 g sachets!Tyrosine 1000!69201000144104!Tyrosine Amino Acid Supplement containing 1 g tyrosine oral liquid: powder for, 30 x 4 g sachets!!4!97.41!97.41!
GE!8983T!AP!!931810011000036104!saxagliptin!932387011000036104!saxagliptin 5 mg tablet, 28!Onglyza!930666011000036102!Onglyza 5 mg tablet, 28!!28!42.12!42.12!
GE!9065D!AP!!12521000144100!goserelin (&) bicalutamide!26782011000036101!goserelin 10.8 mg implant [1 implant] (&) bicalutamide 50 mg tablet [28], 1 pack!ZolaCos CP 10.8/50(28)!11814011000036105!Zolacos CP (1 x 10.8 mg implant, 28 x 50 mg tablets), 1 pack!!1!938.30!938.30!
GE!9055N!AF!!21361011000036108!amlodipine + atorvastatin!26548011000036108!amlodipine 10 mg + atorvastatin 40 mg tablet, 30!Cadivast 10/40!174961000036108!Cadivast 10/40 tablet, 30!!30!4.42!4.42!0.00
GE!9055N!UJ!!21361011000036108!amlodipine + atorvastatin!26548011000036108!amlodipine 10 mg + atorvastatin 40 mg tablet, 30!Caduet 10/40!11162011000036109!Caduet 10/40 tablet, 30!!30!4.42!9.07!
GE!8975J!FP!!21750011000036107!desmopressin!933200331000036106!desmopressin 240 microgram sublingual wafer, 30!Minirin Melt!933200321000036109!Minirin Melt 240 microgram sublingual wafer, 30!!30!75.21!75.21!
GE!9190Q!VE!!21584011000036107!adalimumab!729821000168108!adalimumab 40 mg/0.8 mL injection, 2 x 0.8 mL pen devices!Humira!729831000168106!Humira 40 mg/0.8 mL injection, 2 x 0.8 mL pen devices!!2!979.56!979.56!
GE!9089J!MK!!21347011000036107!etanercept!79241011000036109!etanercept 50 mg/mL injection, 4 x 1 mL syringes!Brenzys!880521000168109!Brenzys 50 mg/mL injection, 4 x 1 mL syringes!!1!939.25!939.25!
GE!9089J!PF!!21347011000036107!etanercept!79241011000036109!etanercept 50 mg/mL injection, 4 x 1 mL syringes!Enbrel!933223531000036103!Enbrel 50 mg/mL injection, 4 x 1 mL syringes!!1!939.25!939.25!
GE!9114Q!RA!!21401011000036104!imatinib!28143011000036104!imatinib 400 mg tablet, 30!IMATINIB RBX!829071000168101!Imatinib (RBX) 400 mg tablet, 30!!30!832.35!832.35!
GE!9114Q!CR!!21401011000036104!imatinib!28143011000036104!imatinib 400 mg tablet, 30!Gilmat!1347621000168104!Gilmat 400 mg tablet, 30!!30!832.35!832.35!
GE!9114Q!SZ!!21401011000036104!imatinib!28143011000036104!imatinib 400 mg tablet, 30!Imatinib-Teva!829801000168102!Imatinib (Teva) 400 mg tablet, 30!!30!832.35!832.35!
GE!9114Q!AF!!21401011000036104!imatinib!28143011000036104!imatinib 400 mg tablet, 30!Glivec!14093011000036104!Glivec 400 mg tablet, 30!!30!832.35!832.35!
GE!8936H!MF!!923931011000036100!oxycodone + naloxone!933224061000036102!oxycodone hydrochloride 40 mg + naloxone hydrochloride 20 mg modified release tablet, 28!Targin 40/20mg!933224051000036100!Targin 40/20 mg modified release tablet, 28!!28!54.24!54.24!
GE!9115R!RA!!21401011000036104!imatinib!28142011000036106!imatinib 100 mg tablet, 60!IMATINIB RBX!828981000168108!Imatinib (RBX) 100 mg tablet, 60!!60!416.18!416.18!
GE!9115R!SZ!!21401011000036104!imatinib!28142011000036106!imatinib 100 mg tablet, 60!Imatinib-Teva!829161000168106!Imatinib (Teva) 100 mg tablet, 60!!60!416.18!416.18!
GE!9115R!AF!!21401011000036104!imatinib!28142011000036106!imatinib 100 mg tablet, 60!Glivec!14092011000036106!Glivec 100 mg tablet, 60!!60!416.18!416.18!
GE!9115R!CR!!21401011000036104!imatinib!28142011000036106!imatinib 100 mg tablet, 60!Gilmat!1347261000168106!Gilmat 100 mg tablet, 60!!60!416.18!416.18!
GE!9295F!LY!!21485011000036103!olanzapine!82530011000036100!olanzapine 300 mg modified release injection [1 vial] (&) inert substance diluent [3 mL vial], 1 pack!Zyprexa Relprevv!82139011000036101!Zyprexa Relprevv (1 x 300 mg vial, 1 x 3 mL diluent vial), 1 pack!!2!358.98!358.98!
GE!9023X!LR!!21417011000036105!fenofibrate!26700011000036101!fenofibrate 145 mg tablet, 30!Fenofibrate Cipla!1347491000168100!Fenofibrate (Cipla) 145 mg tablet, 30!!30!15.27!15.27!
GE!9023X!YC!!21417011000036105!fenofibrate!26700011000036101!fenofibrate 145 mg tablet, 30!Fenocol!1347391000168109!Fenocol 145 mg tablet, 30!!30!15.27!15.27!
GE!9023X!AF!!21417011000036105!fenofibrate!26700011000036101!fenofibrate 145 mg tablet, 30!Fenofibrate Mylan!839221000168108!Fenofibrate (Mylan) 145 mg tablet, 30!!30!15.27!15.27!
GE!9023X!GO!!21417011000036105!fenofibrate!26700011000036101!fenofibrate 145 mg tablet, 30!Lipidil!11584011000036108!Lipidil 145 mg tablet, 30!!30!15.27!15.27!
GE!9023X!TX!!21417011000036105!fenofibrate!26700011000036101!fenofibrate 145 mg tablet, 30!APO-Fenofibrate!1417441000168106!Fenofibrate (Apo) 145 mg tablet, 30!!30!15.27!15.27!
GE!9023X!RA!!21417011000036105!fenofibrate!26700011000036101!fenofibrate 145 mg tablet, 30!FENOFIBRATE RBX!763711000168100!Fenofibrate (RBX) 145 mg tablet, 30!!30!15.27!15.27!
GE!9023X!IB!!21417011000036105!fenofibrate!26700011000036101!fenofibrate 145 mg tablet, 30!Blooms the Chemist Fenofibrate!1417521000168101!Fenofibrate (Blooms The Chemist) 145 mg tablet, 30!!30!15.27!15.27!
GE!9023X!SZ!!21417011000036105!fenofibrate!26700011000036101!fenofibrate 145 mg tablet, 30!Fenofibrate Sandoz!1435741000168101!Fenofibrate (Sandoz) 145 mg tablet, 30!!30!15.27!15.27!
GE!9239G!SZ!!21606011000036107!pravastatin!28260011000036100!pravastatin sodium 40 mg tablet, 30!Pravastatin Sandoz!84893011000036109!Pravastatin Sodium (Sandoz) 40 mg tablet, 30!!30!3.53!3.53!0.00
GE!9239G!RW!!21606011000036107!pravastatin!28260011000036100!pravastatin sodium 40 mg tablet, 30!Pravachol!12857011000036108!Pravachol 40 mg tablet, 30!!30!3.53!6.33!
GE!9239G!TX!!21606011000036107!pravastatin!28260011000036100!pravastatin sodium 40 mg tablet, 30!APO-Pravastatin!930805011000036102!Pravastatin (Apo) 40 mg tablet, 30!!30!3.53!3.53!0.00
GE!9239G!RF!!21606011000036107!pravastatin!28260011000036100!pravastatin sodium 40 mg tablet, 30!Lipostat 40!11582011000036104!Lipostat 40 mg tablet, 30!!30!3.53!3.53!0.00
GE!9239G!EA!!21606011000036107!pravastatin!28260011000036100!pravastatin sodium 40 mg tablet, 30!Pravastatin AN!656571000168107!Pravastatin Sodium (AN) 40 mg tablet, 30!!30!3.53!3.53!0.00
GE!9239G!AF!!21606011000036107!pravastatin!28260011000036100!pravastatin sodium 40 mg tablet, 30!Cholstat 40!14266011000036102!Cholstat 40 mg tablet, 30!!30!3.53!3.53!0.00
GE!9123E!SZ!!21401011000036104!imatinib!28142011000036106!imatinib 100 mg tablet, 60!Imatinib-Teva!829161000168106!Imatinib (Teva) 100 mg tablet, 60!!60!416.18!416.18!
GE!9123E!RA!!21401011000036104!imatinib!28142011000036106!imatinib 100 mg tablet, 60!IMATINIB RBX!828981000168108!Imatinib (RBX) 100 mg tablet, 60!!60!416.18!416.18!
GE!9123E!AF!!21401011000036104!imatinib!28142011000036106!imatinib 100 mg tablet, 60!Glivec!14092011000036106!Glivec 100 mg tablet, 60!!60!416.18!416.18!
GE!9123E!CR!!21401011000036104!imatinib!28142011000036106!imatinib 100 mg tablet, 60!Gilmat!1347261000168106!Gilmat 100 mg tablet, 60!!60!416.18!416.18!
GE!9099X!VE!!21584011000036107!adalimumab!729821000168108!adalimumab 40 mg/0.8 mL injection, 2 x 0.8 mL pen devices!Humira!729831000168106!Humira 40 mg/0.8 mL injection, 2 x 0.8 mL pen devices!!2!979.56!979.56!
GE!9247Q!LR!!21417011000036105!fenofibrate!26700011000036101!fenofibrate 145 mg tablet, 30!Fenofibrate Cipla!1347491000168100!Fenofibrate (Cipla) 145 mg tablet, 30!!30!15.27!15.27!
GE!9247Q!YC!!21417011000036105!fenofibrate!26700011000036101!fenofibrate 145 mg tablet, 30!Fenocol!1347391000168109!Fenocol 145 mg tablet, 30!!30!15.27!15.27!
GE!9247Q!SZ!!21417011000036105!fenofibrate!26700011000036101!fenofibrate 145 mg tablet, 30!Fenofibrate Sandoz!1435741000168101!Fenofibrate (Sandoz) 145 mg tablet, 30!!30!15.27!15.27!
GE!9247Q!GO!!21417011000036105!fenofibrate!26700011000036101!fenofibrate 145 mg tablet, 30!Lipidil!11584011000036108!Lipidil 145 mg tablet, 30!!30!15.27!15.27!
GE!9247Q!AF!!21417011000036105!fenofibrate!26700011000036101!fenofibrate 145 mg tablet, 30!Fenofibrate Mylan!839221000168108!Fenofibrate (Mylan) 145 mg tablet, 30!!30!15.27!15.27!
GE!9247Q!RA!!21417011000036105!fenofibrate!26700011000036101!fenofibrate 145 mg tablet, 30!FENOFIBRATE RBX!763711000168100!Fenofibrate (RBX) 145 mg tablet, 30!!30!15.27!15.27!
GE!9247Q!TX!!21417011000036105!fenofibrate!26700011000036101!fenofibrate 145 mg tablet, 30!APO-Fenofibrate!1417441000168106!Fenofibrate (Apo) 145 mg tablet, 30!!30!15.27!15.27!
GE!9247Q!IB!!21417011000036105!fenofibrate!26700011000036101!fenofibrate 145 mg tablet, 30!Blooms the Chemist Fenofibrate!1417521000168101!Fenofibrate (Blooms The Chemist) 145 mg tablet, 30!!30!15.27!15.27!
GE!9240H!RF!!21606011000036107!pravastatin!26699011000036102!pravastatin sodium 80 mg tablet, 30!Lipostat 80!11583011000036106!Lipostat 80 mg tablet, 30!!30!5.43!5.43!0.00
GE!9240H!EA!!21606011000036107!pravastatin!26699011000036102!pravastatin sodium 80 mg tablet, 30!Pravastatin AN!656501000168102!Pravastatin Sodium (AN) 80 mg tablet, 30!!30!5.43!5.43!0.00
GE!9240H!RW!!21606011000036107!pravastatin!26699011000036102!pravastatin sodium 80 mg tablet, 30!Pravachol!11210011000036106!Pravachol 80 mg tablet, 30!!30!5.43!8.23!
GE!9240H!SZ!!21606011000036107!pravastatin!26699011000036102!pravastatin sodium 80 mg tablet, 30!Pravastatin Sandoz!83319011000036107!Pravastatin Sodium (Sandoz) 80 mg tablet, 30!!30!5.43!5.43!0.00
GE!9240H!GQ!!21606011000036107!pravastatin!26699011000036102!pravastatin sodium 80 mg tablet, 30!Pravastatin generichealth!41416011000036105!Pravastatin Sodium (Generic Health) 80 mg tablet, 30!!30!5.43!5.43!0.00
GE!9240H!TX!!21606011000036107!pravastatin!26699011000036102!pravastatin sodium 80 mg tablet, 30!APO-Pravastatin!52099011000036102!Pravastatin (Apo) 80 mg tablet, 30!!30!5.43!5.43!0.00
